vision,par_id,traj_ind,x,y
preview,16,35,-305.7047231,127.0156923
preview,16,40,-291.9496769,137.8575923
preview,16,45,-273.2131308,152.8643615
preview,16,50,-255.4082769,165.2494846
preview,16,55,-245.0614846,171.6334231
preview,16,60,-231.1751385,179.8233615
preview,16,65,-226.4004308,182.4513231
preview,16,70,-217.3565846,187.2824538
preview,16,75,-211.7725154,190.3817
preview,16,80,-208.3703923,192.4632231
preview,16,85,-205.7475,194.7348
preview,16,90,-205.5481,195.6634923
preview,16,95,-204.8933769,196.4399846
preview,16,100,-204.2888615,197.5756
full,2,0,-408.843675,11.32015
full,2,5,-408.888625,13.15118333
full,2,10,-406.7939083,16.91573333
full,2,15,-397.535575,32.81535
full,2,20,-388.6256833,46.71791667
full,2,25,-375.4624333,66.46453333
full,2,30,-363.0686667,82.56543333
full,2,35,-348.3126667,100.1698583
full,2,40,-333.279975,115.562125
full,2,45,-318.185975,129.7308167
full,2,50,-296.8403833,147.6907417
full,2,55,-287.475475,154.1544167
full,2,60,-275.5330583,162.1748833
full,2,65,-264.7060417,168.1597167
full,2,70,-255.167075,173.3974333
full,2,75,-247.0662583,176.3707417
full,2,80,-242.47715,178.682425
full,2,85,-238.4678667,180.8208
full,2,90,-233.7199167,182.9766583
full,2,95,-233.139375,183.314675
full,2,100,-231.6528583,184.5429917
full,3,0,-408.0396929,2.137489286
full,3,5,-405.4638214,5.914728571
full,3,10,-399.66615,15.08396429
full,3,15,-391.7600643,27.23104286
full,3,20,-378.8280929,44.84305714
full,3,25,-360.6071857,66.39874286
full,3,30,-347.2773786,80.3968
full,3,35,-331.0554,96.29552857
full,3,40,-314.5619571,111.0916857
full,3,45,-298.6957929,124.2841929
full,3,50,-281.0023357,138.2103571
full,3,55,-271.0549571,145.8676214
full,3,60,-260.7652,153.7897
full,3,65,-252.0580929,160.3905714
full,3,70,-244.9013286,165.7174714
full,3,75,-238.9293643,170.4055
full,3,80,-236.2928643,172.7625643
full,3,85,-233.5194571,174.8030929
full,3,90,-231.99965,176.2530357
full,3,95,-231.2275,177.8700714
full,3,100,-231.0713143,179.2676786
full,4,0,-413.9720923,7.769607692
full,4,5,-409.3776538,12.39794615
full,4,10,-402.9239077,21.00695385
full,4,15,-395.9615077,33.0137
full,4,20,-387.4180462,48.33274615
full,4,25,-374.5408462,70.02286923
full,4,30,-360.9545385,90.2995
full,4,35,-345.2433769,110.5384385
full,4,40,-329.6117692,127.3581308
full,4,45,-311.5539692,143.4415
full,4,50,-291.9708769,157.5678615
full,4,55,-286.5398,160.6725385
full,4,60,-272.5646,169.0308846
full,4,65,-261.2369538,175.1088231
full,4,70,-250.7490231,180.2517077
full,4,75,-241.0096462,184.3732154
full,4,80,-234.4161846,186.5893846
full,4,85,-230.8207692,187.6168769
full,4,90,-228.6532692,188.6306077
full,4,95,-227.1222385,189.1212846
full,4,100,-226.5088308,189.2716846
full,6,0,-402.72732,10.18480667
full,6,5,-400.00334,18.55683333
full,6,10,-395.1274333,30.41998
full,6,15,-389.4421533,41.63074667
full,6,20,-375.9255867,63.28945333
full,6,25,-358.44136,85.40118667
full,6,30,-343.7524467,101.05076
full,6,35,-327.5425733,116.6064
full,6,40,-311.1998933,130.7743467
full,6,45,-294.7277667,143.6421467
full,6,50,-275.8822067,156.80242
full,6,55,-266.2362667,162.9619733
full,6,60,-255.4226067,169.6792667
full,6,65,-246.6389733,174.98988
full,6,70,-238.1855067,179.78998
full,6,75,-232.6535667,182.7415667
full,6,80,-229.0774733,184.7222267
full,6,85,-225.8064867,186.7126333
full,6,90,-223.86494,187.6844133
full,6,95,-222.3617533,188.0363133
full,6,100,-221.0968533,188.8842867
full,7,0,-402.3360143,7.845871429
full,7,5,-398.8792143,14.46942143
full,7,10,-392.8360929,25.25621429
full,7,15,-384.3924357,38.67326429
full,7,20,-376.1637571,50.33798571
full,7,25,-362.4394714,67.85823571
full,7,30,-351.9111643,79.99216429
full,7,35,-335.8484,96.92999286
full,7,40,-319.06905,112.9805
full,7,45,-302.6454929,127.5145786
full,7,50,-287.4608929,140.1539857
full,7,55,-281.1484286,145.2172643
full,7,60,-268.5874571,155.0320714
full,7,65,-257.7497357,163.1284214
full,7,70,-248.6861786,169.6225429
full,7,75,-241.1562071,174.822
full,7,80,-237.1255429,177.4543214
full,7,85,-233.4117214,179.8411143
full,7,90,-230.3463286,182.0922786
full,7,95,-228.8493357,183.7533071
full,7,100,-228.2269357,184.9624143
full,8,0,-398.1215231,4.357146154
full,8,5,-396.1753385,6.156720769
full,8,10,-391.7470846,11.38550769
full,8,15,-383.6540538,20.97996154
full,8,20,-372.2722077,34.50016923
full,8,25,-356.9600615,52.00694615
full,8,30,-344.4275923,65.46220769
full,8,35,-326.5374769,83.81136154
full,8,40,-307.989,101.5937308
full,8,45,-290.3685692,117.7228385
full,8,50,-272.3513846,133.7768154
full,8,55,-261.1421923,143.7634615
full,8,60,-250.5533462,153.7196231
full,8,65,-242.4560231,161.8123154
full,8,70,-236.2985231,168.3381385
full,8,75,-231.2786769,173.6882462
full,8,80,-228.5715077,176.3808077
full,8,85,-225.3238923,179.2680846
full,8,90,-222.5905077,181.1636692
full,8,95,-220.5095,182.3773462
full,8,100,-219.5799615,183.3937769
full,9,0,-399.8391133,-6.6226
full,9,5,-398.3852667,-3.786479333
full,9,10,-393.8653267,3.588735333
full,9,15,-388.3571467,12.38379333
full,9,20,-380.4789933,24.20988
full,9,25,-370.3844933,38.42786
full,9,30,-358.46292,54.19709333
full,9,35,-344.9538133,70.44016667
full,9,40,-332.821,83.42923333
full,9,45,-317.2031933,98.66461333
full,9,50,-298.5219467,114.2565733
full,9,55,-290.5576267,120.16646
full,9,60,-275.2688533,130.7635667
full,9,65,-264.2275,137.4478733
full,9,70,-251.36412,144.51012
full,9,75,-240.5234467,149.79582
full,9,80,-232.4317733,153.2415067
full,9,85,-226.34434,155.5493267
full,9,90,-221.4811733,157.3980333
full,9,95,-218.4655467,159.2289667
full,9,100,-216.9587533,160.9691133
full,10,0,-406.5087071,22.57655
full,10,5,-405.1684571,25.5588
full,10,10,-398.0367786,34.98716429
full,10,15,-388.4704214,47.79494286
full,10,20,-372.06155,69.35953571
full,10,25,-355.6112714,88.95772143
full,10,30,-344.6313143,101.3338214
full,10,35,-329.8951,116.1330429
full,10,40,-315.5803143,129.02035
full,10,45,-301.0944714,140.87085
full,10,50,-282.1373214,155.2525143
full,10,55,-272.6376286,161.9982929
full,10,60,-260.7672429,169.8533357
full,10,65,-249.9757857,176.3705714
full,10,70,-238.0966429,183.0731
full,10,75,-230.8551643,186.6935214
full,10,80,-226.6891857,188.6212643
full,10,85,-220.5590643,190.98475
full,10,90,-217.6755071,192.3377929
full,10,95,-217.3901071,192.6033286
full,10,100,-216.6392143,193.8396071
full,11,0,-400.7221857,15.88927857
full,11,5,-394.7931786,23.89033571
full,11,10,-392.8523214,26.66842143
full,11,15,-381.9708143,43.31986429
full,11,20,-375.4639357,53.13934286
full,11,25,-359.3872429,77.27784286
full,11,30,-351.8875857,87.43171429
full,11,35,-333.2724857,110.7101786
full,11,40,-325.3975143,119.2838786
full,11,45,-307.6555857,137.7089
full,11,50,-286.2172143,156.7423929
full,11,55,-280.4190643,160.2479286
full,11,60,-265.4723643,171.2883929
full,11,65,-260.2772286,174.0217071
full,11,70,-246.9689357,182.6910214
full,11,75,-245.0535857,184.4711714
full,11,80,-234.1363643,189.3212571
full,11,85,-233.6692357,189.4981071
full,11,90,-225.4534714,192.9797429
full,11,95,-225.1190929,192.8117
full,11,100,-221.9732,196.1377143
full,12,0,-403.1976714,21.10925
full,12,5,-401.7509071,25.29155
full,12,10,-399.0925857,32.07857857
full,12,15,-396.5326786,38.20205714
full,12,20,-391.2154429,48.64319286
full,12,25,-383.2041643,62.85397857
full,12,30,-376.0069929,74.85515714
full,12,35,-364.8554714,90.57234286
full,12,40,-352.9090357,105.6787071
full,12,45,-336.92895,123.4416
full,12,50,-319.9241714,140.1101643
full,12,55,-311.4122929,147.4752643
full,12,60,-294.6323429,160.9927
full,12,65,-280.6031071,170.8242286
full,12,70,-265.44105,179.4261143
full,12,75,-251.2969357,185.2673571
full,12,80,-241.1205143,188.4441429
full,12,85,-231.8181786,190.0699357
full,12,90,-226.8782143,193.0728857
full,12,95,-223.0098214,194.3869071
full,12,100,-220.4622714,194.9288
full,13,0,-401.9614667,37.34386667
full,13,5,-398.6064133,42.46164667
full,13,10,-393.4386667,51.25643333
full,13,15,-385.4230133,63.56298
full,13,20,-375.6111533,77.32294
full,13,25,-360.5237867,96.47472
full,13,30,-349.0289867,109.56256
full,13,35,-333.8600733,125.3942733
full,13,40,-318.1840333,140.1716467
full,13,45,-302.74548,153.33086
full,13,50,-286.07426,166.0555267
full,13,55,-276.9503933,172.5765933
full,13,60,-265.52568,180.6092467
full,13,65,-255.5436933,187.3859867
full,13,70,-246.6990733,192.99026
full,13,75,-237.5701933,198.1615533
full,13,80,-232.6948467,200.4854267
full,13,85,-227.9626133,202.2904467
full,13,90,-223.4053667,203.2728067
full,13,95,-219.9361667,203.2024933
full,13,100,-218.2341333,203.5218
full,14,0,-394.6173643,10.05632857
full,14,5,-392.8708857,15.60408571
full,14,10,-388.1919071,25.19674286
full,14,15,-379.8084786,40.78673571
full,14,20,-371.9812214,54.17011429
full,14,25,-356.1603286,78.03427143
full,14,30,-343.5131357,94.48280714
full,14,35,-325.2873,114.8996714
full,14,40,-310.5147214,128.43635
full,14,45,-294.9180571,141.34165
full,14,50,-273.53455,156.7817786
full,14,55,-261.8335857,164.64585
full,14,60,-249.6805,171.0081786
full,14,65,-240.4815357,175.5414643
full,14,70,-230.1223429,179.8215143
full,14,75,-222.38325,182.0909071
full,14,80,-217.2097571,183.3315571
full,14,85,-215.07385,183.9564929
full,14,90,-213.1774214,184.82415
full,14,95,-213.1940357,185.2961357
full,14,100,-212.7497071,186.0455929
full,15,0,-399.8186714,37.49680714
full,15,5,-392.4912143,45.36214286
full,15,10,-386.6246429,53.65936429
full,15,15,-378.2183214,65.81762857
full,15,20,-367.5893286,81.93993571
full,15,25,-352.1958857,102.2887429
full,15,30,-340.0366571,116.2452286
full,15,35,-318.8292429,138.2247071
full,15,40,-306.0105857,149.4607214
full,15,45,-287.9603857,163.4828643
full,15,50,-266.5375643,177.6026
full,15,55,-256.0849286,183.2566357
full,15,60,-244.7388786,188.7548643
full,15,65,-238.9239643,191.6276143
full,15,70,-229.76725,195.8293286
full,15,75,-224.4457786,198.1210071
full,15,80,-222.3966643,199.1503714
full,15,85,-219.1125357,200.80185
full,15,90,-217.26655,202.1902714
full,15,95,-216.2687071,202.9692857
full,15,100,-214.9783786,204.4907643
full,16,0,-388.3263533,27.13178
full,16,5,-382.9409,33.24212
full,16,10,-373.41242,45.90934667
full,16,15,-362.20904,61.87996667
full,16,20,-354.6752733,72.21038
full,16,25,-340.1861267,91.87058
full,16,30,-324.64968,110.5212
full,16,35,-307.4953867,128.5859
full,16,40,-288.95884,145.1008933
full,16,45,-270.22984,159.3856
full,16,50,-250.7461267,172.5434933
full,16,55,-246.6721333,175.04418
full,16,60,-233.4484333,182.8498667
full,16,65,-223.21904,188.5972533
full,16,70,-215.7206,192.7292133
full,16,75,-210.79092,195.3943267
full,16,80,-207.9017667,196.7033933
full,16,85,-207.6275867,196.9075867
full,16,90,-205.49924,197.2108733
full,16,95,-204.0745733,197.6525467
full,16,100,-203.7557067,198.69408
