,par_id,soa,target_location,congruency_area,congruency_area_continuous,congruency_area_absolute,sub_ind,sub_area,sub_area_continuous
113,3,850.0,2.0,-69.31234227613501,-67.43532240498462,69.31234227613501,79,-29.42572312036657,-30.610800218462373
114,3,850.0,2.0,-69.31234227613501,-67.43532240498462,69.31234227613501,99,-65.22599890939128,-65.6982879276693
115,3,1100.0,2.0,-170.07237264034617,-168.24310388084723,170.07237264034617,19,8.68759849465987,9.486254571343665
116,3,1100.0,2.0,-170.07237264034617,-168.24310388084723,170.07237264034617,39,-5.579268278979196,-7.000398729175117
117,3,1100.0,2.0,-170.07237264034617,-168.24310388084723,170.07237264034617,59,-48.30785957739738,-49.00753299741973
118,3,1100.0,2.0,-170.07237264034617,-168.24310388084723,170.07237264034617,79,-49.06643019008675,-48.96406345595369
119,3,1100.0,2.0,-170.07237264034617,-168.24310388084723,170.07237264034617,99,-67.21631439349669,-67.65694725310277
120,4,100.0,1.0,-51.073318210561666,-51.41386571203748,51.073318210561666,19,-3.5325268764196798,-3.619785852217163
121,4,100.0,1.0,-51.073318210561666,-51.41386571203748,51.073318210561666,39,-11.324833213432484,-11.71328360511086
122,4,100.0,1.0,-51.073318210561666,-51.41386571203748,51.073318210561666,59,-45.17611667383476,-45.030905865614386
123,4,100.0,1.0,-51.073318210561666,-51.41386571203748,51.073318210561666,79,-3.110727556385612,-2.6580036768832542
124,4,100.0,1.0,-51.073318210561666,-51.41386571203748,51.073318210561666,99,12.709956209167672,12.831317560929165
125,4,350.0,1.0,114.88884601935874,113.98190322782557,114.88884601935874,19,0.5022503090328239,0.6304389765790575
126,4,350.0,1.0,114.88884601935874,113.98190322782557,114.88884601935874,39,21.657310342924955,22.332674038353503
127,4,350.0,1.0,114.88884601935874,113.98190322782557,114.88884601935874,59,28.519245760399087,28.29033201704374
128,4,350.0,1.0,114.88884601935874,113.98190322782557,114.88884601935874,79,23.976823174309757,24.066841922167896
129,4,350.0,1.0,114.88884601935874,113.98190322782557,114.88884601935874,99,33.732793450494,33.90455590324291
130,4,850.0,1.0,-142.43615412426504,-141.50406726546044,142.43615412426504,19,-2.4305444797560183,-2.806482997092502
131,4,850.0,1.0,-142.43615412426504,-141.50406726546044,142.43615412426504,39,-16.618791514922048,-16.657349993462503
132,4,850.0,1.0,-142.43615412426504,-141.50406726546044,142.43615412426504,59,-27.176717057086847,-27.781808520584946
133,4,850.0,1.0,-142.43615412426504,-141.50406726546044,142.43615412426504,79,-45.72317197058281,-45.9664248006261
134,4,850.0,1.0,-142.43615412426504,-141.50406726546044,142.43615412426504,99,-42.527358270642424,-42.225589503882475
135,4,1100.0,1.0,-100.62075943083063,-100.67266477946123,100.62075943083063,19,2.1747426493538327,2.511883103215112
136,4,1100.0,1.0,-100.62075943083063,-100.67266477946123,100.62075943083063,39,-9.28929137266653,-10.514858209522572
137,4,1100.0,1.0,-100.62075943083063,-100.67266477946123,100.62075943083063,59,-44.96028388081458,-45.389958847699745
138,4,1100.0,1.0,-100.62075943083063,-100.67266477946123,100.62075943083063,79,-37.98034859149864,-37.20838509354962
139,4,1100.0,1.0,-100.62075943083063,-100.67266477946123,100.62075943083063,99,-5.7571728024257425,-5.198820417238494
140,4,100.0,2.0,183.9256103148763,182.9961634534966,183.9256103148763,19,0.4754847860973077,0.7832418068877658
141,4,100.0,2.0,183.9256103148763,182.9961634534966,183.9256103148763,39,26.639864938317448,27.316026597254734
142,4,100.0,2.0,183.9256103148763,182.9961634534966,183.9256103148763,59,47.0977133484895,47.5660349630507
143,4,100.0,2.0,183.9256103148763,182.9961634534966,183.9256103148763,79,57.33980182066357,57.30472724733886
