vib,modality,vision,par_id,traj_ind,x,y
novib,limb,full,8,95,-220.5095,182.3773462
novib,limb,full,8,100,-219.5799615,183.3937769
novib,limb,full,9,0,-399.8391133,-6.6226
novib,limb,full,9,5,-398.3852667,-3.786479333
novib,limb,full,9,10,-393.8653267,3.588735333
novib,limb,full,9,15,-388.3571467,12.38379333
novib,limb,full,9,20,-380.4789933,24.20988
novib,limb,full,9,25,-370.3844933,38.42786
novib,limb,full,9,30,-358.46292,54.19709333
novib,limb,full,9,35,-344.9538133,70.44016667
novib,limb,full,9,40,-332.821,83.42923333
novib,limb,full,9,45,-317.2031933,98.66461333
novib,limb,full,9,50,-298.5219467,114.2565733
novib,limb,full,9,55,-290.5576267,120.16646
novib,limb,full,9,60,-275.2688533,130.7635667
novib,limb,full,9,65,-264.2275,137.4478733
novib,limb,full,9,70,-251.36412,144.51012
novib,limb,full,9,75,-240.5234467,149.79582
novib,limb,full,9,80,-232.4317733,153.2415067
novib,limb,full,9,85,-226.34434,155.5493267
novib,limb,full,9,90,-221.4811733,157.3980333
novib,limb,full,9,95,-218.4655467,159.2289667
novib,limb,full,9,100,-216.9587533,160.9691133
novib,limb,full,10,0,-406.5087071,22.57655
novib,limb,full,10,5,-405.1684571,25.5588
novib,limb,full,10,10,-398.0367786,34.98716429
novib,limb,full,10,15,-388.4704214,47.79494286
novib,limb,full,10,20,-372.06155,69.35953571
novib,limb,full,10,25,-355.6112714,88.95772143
novib,limb,full,10,30,-344.6313143,101.3338214
novib,limb,full,10,35,-329.8951,116.1330429
novib,limb,full,10,40,-315.5803143,129.02035
novib,limb,full,10,45,-301.0944714,140.87085
novib,limb,full,10,50,-282.1373214,155.2525143
novib,limb,full,10,55,-272.6376286,161.9982929
novib,limb,full,10,60,-260.7672429,169.8533357
novib,limb,full,10,65,-249.9757857,176.3705714
novib,limb,full,10,70,-238.0966429,183.0731
novib,limb,full,10,75,-230.8551643,186.6935214
novib,limb,full,10,80,-226.6891857,188.6212643
novib,limb,full,10,85,-220.5590643,190.98475
novib,limb,full,10,90,-217.6755071,192.3377929
novib,limb,full,10,95,-217.3901071,192.6033286
novib,limb,full,10,100,-216.6392143,193.8396071
novib,limb,full,11,0,-400.7221857,15.88927857
novib,limb,full,11,5,-394.7931786,23.89033571
novib,limb,full,11,10,-392.8523214,26.66842143
novib,limb,full,11,15,-381.9708143,43.31986429
novib,limb,full,11,20,-375.4639357,53.13934286
novib,limb,full,11,25,-359.3872429,77.27784286
novib,limb,full,11,30,-351.8875857,87.43171429
novib,limb,full,11,35,-333.2724857,110.7101786
novib,limb,full,11,40,-325.3975143,119.2838786
novib,limb,full,11,45,-307.6555857,137.7089
novib,limb,full,11,50,-286.2172143,156.7423929
novib,limb,full,11,55,-280.4190643,160.2479286
novib,limb,full,11,60,-265.4723643,171.2883929
novib,limb,full,11,65,-260.2772286,174.0217071
novib,limb,full,11,70,-246.9689357,182.6910214
novib,limb,full,11,75,-245.0535857,184.4711714
novib,limb,full,11,80,-234.1363643,189.3212571
novib,limb,full,11,85,-233.6692357,189.4981071
novib,limb,full,11,90,-225.4534714,192.9797429
novib,limb,full,11,95,-225.1190929,192.8117
novib,limb,full,11,100,-221.9732,196.1377143
novib,limb,full,12,0,-403.1976714,21.10925
novib,limb,full,12,5,-401.7509071,25.29155
novib,limb,full,12,10,-399.0925857,32.07857857
novib,limb,full,12,15,-396.5326786,38.20205714
novib,limb,full,12,20,-391.2154429,48.64319286
novib,limb,full,12,25,-383.2041643,62.85397857
novib,limb,full,12,30,-376.0069929,74.85515714
novib,limb,full,12,35,-364.8554714,90.57234286
novib,limb,full,12,40,-352.9090357,105.6787071
novib,limb,full,12,45,-336.92895,123.4416
novib,limb,full,12,50,-319.9241714,140.1101643
novib,limb,full,12,55,-311.4122929,147.4752643
novib,limb,full,12,60,-294.6323429,160.9927
novib,limb,full,12,65,-280.6031071,170.8242286
novib,limb,full,12,70,-265.44105,179.4261143
novib,limb,full,12,75,-251.2969357,185.2673571
novib,limb,full,12,80,-241.1205143,188.4441429
novib,limb,full,12,85,-231.8181786,190.0699357
novib,limb,full,12,90,-226.8782143,193.0728857
novib,limb,full,12,95,-223.0098214,194.3869071
novib,limb,full,12,100,-220.4622714,194.9288
novib,limb,full,13,0,-401.9614667,37.34386667
novib,limb,full,13,5,-398.6064133,42.46164667
novib,limb,full,13,10,-393.4386667,51.25643333
novib,limb,full,13,15,-385.4230133,63.56298
novib,limb,full,13,20,-375.6111533,77.32294
novib,limb,full,13,25,-360.5237867,96.47472
novib,limb,full,13,30,-349.0289867,109.56256
novib,limb,full,13,35,-333.8600733,125.3942733
novib,limb,full,13,40,-318.1840333,140.1716467
novib,limb,full,13,45,-302.74548,153.33086
novib,limb,full,13,50,-286.07426,166.0555267
novib,limb,full,13,55,-276.9503933,172.5765933
novib,limb,full,13,60,-265.52568,180.6092467
novib,limb,full,13,65,-255.5436933,187.3859867
novib,limb,full,13,70,-246.6990733,192.99026
novib,limb,full,13,75,-237.5701933,198.1615533
novib,limb,full,13,80,-232.6948467,200.4854267
novib,limb,full,13,85,-227.9626133,202.2904467
novib,limb,full,13,90,-223.4053667,203.2728067
novib,limb,full,13,95,-219.9361667,203.2024933
novib,limb,full,13,100,-218.2341333,203.5218
novib,limb,full,14,0,-394.6173643,10.05632857
novib,limb,full,14,5,-392.8708857,15.60408571
novib,limb,full,14,10,-388.1919071,25.19674286
novib,limb,full,14,15,-379.8084786,40.78673571
novib,limb,full,14,20,-371.9812214,54.17011429
novib,limb,full,14,25,-356.1603286,78.03427143
novib,limb,full,14,30,-343.5131357,94.48280714
novib,limb,full,14,35,-325.2873,114.8996714
novib,limb,full,14,40,-310.5147214,128.43635
novib,limb,full,14,45,-294.9180571,141.34165
novib,limb,full,14,50,-273.53455,156.7817786
novib,limb,full,14,55,-261.8335857,164.64585
