location,target,cue_ind,soa,screen_calib_routine.thisRepN,screen_calib_routine.thisTrialN,screen_calib_routine.thisN,screen_calib_routine.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_welcome.started,text_welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,trial_type,text_4.started,text_4.stopped,screen_calib_circle_2.started,screen_calib_circle_2.stopped,calib_start.started,calib_start.stopped,screen_calib_circle.started,screen_calib_circle.stopped,text_5.started,text_5.stopped,sound_2.started,sound_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_7.started,text_7.stopped,keep_trial,text_instr_2.started,text_instr_2.stopped,soa_actual,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,participant,expVersion,age,sex,date,expName,psychopyVersion,frameRate,
,2,1,350,,,,,1,5,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,0.36667690000103903,space,7.947920099999465,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,100,,,,,1,6,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11668859999917913,space,0.8373877999983961,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,850,,,,,1,7,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666727000018,space,0.49702280000201426,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,100,,,,,1,8,24,8,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11667189999934635,space,0.6644954000003054,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,100,,,,,1,9,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.11664560000281199,space,0.7538983999984339,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,1100,,,,,1,10,26,7,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1167015999999421,space,0.7051611000024423,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,2,350,,,,,1,11,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.36670199999934994,space,1.3285898000031011,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,1100,,,,,1,12,28,15,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1167124999992666,space,1.0234336000030453,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,850,,,,,1,13,29,10,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.8666494999997667,space,0.70479609999893,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,2,350,,,,,1,14,30,13,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.3666460999993433,space,2.256290399996942,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,1,1,350,,,,,1,15,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,0.36666990000230726,space,1.1649280999990879,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
,2,1,1100,,,,,2,0,32,11,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1.1166980000016338,space,0.772335400000884,,,,,,,1,tathum,21,M,2022-10-31_16h11.04.524,GazeCueingPsychoPy,2022.1.3,60.5933176479181,
